,period_begin,period_end,region_type,region_type_id,region_name,region_id,duration,adjusted_average_homes_sold,active_listings
1224874,2020-05-11,2020-05-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,102.0,1867
1233333,2020-04-20,2020-04-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,127.0,1553
1233390,2020-04-27,2020-05-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,106.0,1619
1261786,2020-12-07,2020-12-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,284.0,2629
1262596,2020-06-22,2020-06-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,182.0,2481
1262653,2020-06-29,2020-07-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,197.0,2439
1273202,2021-04-26,2021-05-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,401.0,2284
1273259,2021-05-03,2021-05-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,291.0,2285
1274473,2020-10-26,2020-11-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,304.0,3599
1274530,2020-11-02,2020-11-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,280.0,3423
1295572,2021-03-29,2021-04-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,326.0,2275
1295629,2021-04-05,2021-04-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,305.0,2294
1298546,2020-07-27,2020-08-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,263.0,2864
1298603,2020-08-03,2020-08-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,208.0,2927
1303963,2021-11-01,2021-11-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,311.0,2434
1304020,2021-11-08,2021-11-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,309.0,2333
1331579,2020-10-12,2020-10-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,258.0,3662
1331636,2020-10-19,2020-10-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,303.0,3663
1332142,2020-09-28,2020-10-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,277.0,3629
1334014,2020-12-14,2020-12-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,300.0,2386
1334071,2020-12-21,2020-12-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,212.0,2035
1339041,2020-11-23,2020-11-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,225.0,2949
1339098,2020-11-30,2020-12-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,328.0,2923
1346642,2020-08-10,2020-08-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,212.0,3042
1346699,2020-08-17,2020-08-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,235.0,3076
1349615,2020-07-20,2020-07-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,241.0,2822
1377578,2021-05-31,2021-06-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,301.0,2215
1425306,2020-11-09,2020-11-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,274.0,3379
1425363,2020-11-16,2020-11-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,326.0,3234
1433699,2021-03-22,2021-03-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,307.0,2293
1451662,2020-05-18,2020-05-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,145.0,1993
1452784,2020-05-25,2020-05-31,metro,-2,"San Francisco, CA metro area",41884,1 weeks,158.0,2060
1452841,2020-06-01,2020-06-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,138.0,2177
1454088,2020-08-24,2020-08-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,261.0,3163
1454145,2020-08-31,2020-09-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,247.0,3214
1463615,2020-09-07,2020-09-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,208.0,3263
1481238,2021-11-15,2021-11-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,358.0,2152
1481295,2021-11-22,2021-11-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,240.0,1850
1491571,2021-06-07,2021-06-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,370.0,2256
1494780,2021-01-11,2021-01-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,216.0,1984
